Col,Row,Surface,Thickness,Bed
2620,1883,-9999,-9999,-472
2621,1883,-9999,-9999,-478
2622,1883,-9999,-9999,-487
2623,1883,-9999,-9999,-491
2624,1883,-9999,-9999,-493
2625,1883,-9999,-9999,-497
2626,1883,-9999,-9999,-501
2627,1883,-9999,-9999,-506
2628,1883,-9999,-9999,-511
2629,1883,-9999,-9999,-516
2630,1883,-9999,-9999,-521
2631,1883,-9999,-9999,-527
2632,1883,-9999,-9999,-532
2633,1883,-9999,-9999,-537
2634,1883,11,45,-542
2635,1883,11,46,-547
2636,1883,12,52,-551
2637,1883,14,63,-555
2638,1883,16,77,-558
2639,1883,19,94,-561
2640,1883,22,113,-561
2641,1883,25,135,-561
2642,1883,28,160,-561
2643,1883,31,180,-560
2644,1883,32,187,-559
2645,1883,31,175,-557
2646,1883,28,154,-554
2647,1883,26,132,-552
2648,1883,24,114,-549
2649,1883,23,102,-545
2650,1883,23,102,-541
2651,1883,24,109,-537
2652,1883,25,117,-534
2653,1883,26,122,-529
2654,1883,26,126,-524
2655,1883,27,135,-518
2656,1883,29,147,-513
2657,1883,30,157,-508
2658,1883,30,157,-503
2659,1883,29,148,-498
2660,1883,28,139,-493
2661,1883,27,129,-487
2662,1883,27,121,-481
2663,1883,26,116,-475
2664,1883,26,112,-470
2665,1883,25,107,-465
2666,1883,24,100,-460
2667,1883,24,92,-455
2668,1883,23,84,-450
2669,1883,22,76,-444
2670,1883,21,69,-439
2671,1883,21,64,-433
2672,1883,21,61,-428
2673,1883,21,61,-423
2674,1883,21,64,-418
2675,1883,21,68,-414
2676,1883,22,72,-409
2677,1883,22,77,-404
2678,1883,23,85,-398
2679,1883,24,93,-394
2680,1883,24,95,-389
2681,1883,24,86,-384
2592,1884,-9999,-9999,-303
2593,1884,-9999,-9999,-300
2594,1884,-9999,-9999,-300
2595,1884,-9999,-9999,-300
2596,1884,-9999,-9999,-300
2597,1884,-9999,-9999,-300
2598,1884,-9999,-9999,-300
2599,1884,-9999,-9999,-301
2600,1884,-9999,-9999,-307
2601,1884,-9999,-9999,-318
2602,1884,-9999,-9999,-326
2603,1884,-9999,-9999,-338
2604,1884,-9999,-9999,-343
2605,1884,-9999,-9999,-352
2606,1884,-9999,-9999,-358
2607,1884,-9999,-9999,-366
2608,1884,-9999,-9999,-374
2609,1884,-9999,-9999,-384
2610,1884,-9999,-9999,-398
2611,1884,-9999,-9999,-408
